district,campus,group,set,receiving,paper_courses,our_courses,change
allan hancock,UCSB,DataStructures,A,CMPSC 24,,CS 112 (4.00),newly-articulated
allan hancock,UCSB,Intro,A,CMPSC 16,,CS 111 (4.00),newly-articulated
chabot-las positas,UCB,Calc1,A,MATH 51,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCB,Calc2,A,MATH 52,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCB,LinearAlgebraAndDifferentialEqations,A,MATH 54,MATH 5 (3.50) | MATH 7 (3.50),MTH 4 (3.00) | MTH 6 (3.00),courses-changed
chabot-las positas,UCB,MultivariableCalc,A,MATH 53,MATH 3 (5.00),MTH 3 (5.00),courses-changed
chabot-las positas,UCD,DataStructures,A,ECS 036C,CS 20 (4.00),CSCI 20 (4.00),courses-changed
chabot-las positas,UCD,DiscreteMath,A,ECS 020,CS 17 (4.00) | MATH 10 (4.00),CSCI 28 (3.00) | MTH 8 (3.00),courses-changed
chabot-las positas,UCD,Intro1,A,ECS 036A,CS 1 (4.00),CSCI 14 (4.00),courses-changed
chabot-las positas,UCD,Intro2,A,ECS 036B,CS 2 (4.00) | CS 31 (4.00),CSCI 15 (4.00) | CSCI 20 (4.00),courses-changed
chabot-las positas,UCD,Organization,A,ECS 050,CS 21 (4.00),CSCI 21 (4.00),courses-changed
chabot-las positas,UCI,Calc1,A,MATH 2A,MATH 1 (5.00),MTH 1 (5.00) | MTH 15 (3.00),courses-changed
chabot-las positas,UCI,Calc2,A,MATH 2B,MATH 2 (5.00),MTH 16 (3.00) | MTH 2 (5.00),courses-changed
chabot-las positas,UCI,Programming,F,I&C SCI 6B,CS 17 (4.00),MTH 8 (3.00),courses-changed
chabot-las positas,UCLA,Calc1,A,MATH 31A,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCLA,Calc2,A,MATH 31B,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCLA,Calc3,A,MATH 32A,MATH 3 (5.00),MTH 3 (5.00),courses-changed
chabot-las positas,UCLA,Calc4,A,MATH 32B,MATH 3 (5.00),MTH 3 (5.00),courses-changed
chabot-las positas,UCLA,DifferentialEquations,A,MATH 33B,MATH 5 (3.50),MTH 4 (3.00),courses-changed
chabot-las positas,UCLA,Intro,A,COM SCI 31,CS 1 (4.00) | CS 2 (4.00),CSCI 15 (4.00),courses-changed
chabot-las positas,UCLA,LinearAlgebra,A,MATH 33A,MATH 7 (3.50),MTH 6 (3.00),courses-changed
chabot-las positas,UCM,Calc1,A,MATH 021,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCM,Calc2,A,MATH 022,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCM,DataStructures,A,CSE 030,CS 20 (4.00),CSCI 20 (4.00),courses-changed
chabot-las positas,UCM,Intro,A,CSE 022,CS 1 (4.00) | CS 7 (3.00),CSCI 14 (4.00),courses-changed
chabot-las positas,UCM,LinearAlgebra,A,MATH 024,MATH 5 (3.50) | MATH 7 (3.50),MTH 4 (3.00) | MTH 6 (3.00),courses-changed
chabot-las positas,UCM,VectorCalc,A,MATH 023,MATH 3 (5.00),MTH 3 (5.00),courses-changed
chabot-las positas,UCR,Calc,A,MATH 9A; MATH 9B; MATH 9C,MATH 1 (5.00) | MATH 2 (5.00),MTH 1 (5.00) | MTH 2 (5.00),courses-changed
chabot-las positas,UCR,Intro1,A,CS 10A,CS 1 (4.00) | CS 31 (4.00),CSCI 14 (4.00),courses-changed
chabot-las positas,UCR,Intro2,A,CS 10B,CS 2 (4.00),CSCI 15 (4.00),courses-changed
chabot-las positas,UCSB,Calc1,A,MATH 3A,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCSB,Calc2,A,MATH 3B,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCSB,DataStructures,A,CMPSC 24,CS 20 (4.00),CSCI 20 (4.00),courses-changed
chabot-las positas,UCSB,DifferentialEquations,A,MATH 4B,MATH 5 (3.50),MTH 4 (3.00),courses-changed
chabot-las positas,UCSB,DiscreteMath,A,CMPSC 40,CS 17 (4.00) | MATH 10 (4.00),CSCI 28 (3.00) | MTH 8 (3.00),courses-changed
chabot-las positas,UCSB,LinearAlgebra,A,MATH 4A,MATH 7 (3.50),MTH 6 (3.00),courses-changed
chabot-las positas,UCSC,Calc1,A,MATH 19A,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCSC,Calc2,A,MATH 19B,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCSC,DiscreteMath,A,CSE 16,CS 17 (4.00) | MATH 10 (4.00),CSCI 28 (3.00) | MTH 8 (3.00),courses-changed
chabot-las positas,UCSC,Intro,A,CSE 30,CS 20 (4.00),CSCI 20 (4.00),courses-changed
chabot-las positas,UCSC,Organization,A,CSE 12,CS 21 (4.00),CSCI 21 (4.00),courses-changed
chabot-las positas,UCSD,Calc1,A,MATH 20A,MATH 1 (5.00),MTH 1 (5.00),courses-changed
chabot-las positas,UCSD,Calc2,A,MATH 20B,MATH 2 (5.00),MTH 2 (5.00),courses-changed
chabot-las positas,UCSD,Calc3,A,MATH 20C,MATH 3 (5.00),MTH 3 (5.00),courses-changed
chabot-las positas,UCSD,DataStructures,A,CSE 12,CS 20 (4.00),CSCI 20 (4.00),courses-changed
chabot-las positas,UCSD,DiscreteMath,A,CSE 20,CS 17 (4.00),MTH 8 (3.00),courses-changed
chabot-las positas,UCSD,Intro,B,CSE 11,CS 31 (4.00),CSCI 19A (4.00),courses-changed
chabot-las positas,UCSD,LinearAlgebra,A,MATH 18,MATH 7 (3.50),MTH 6 (3.00),courses-changed
coast,UCB,Calc1,A,MATH 51,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCB,Calc2,A,MATH 52,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCB,LinearAlgebraAndDifferentialEqations,A,MATH 54,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCB,MultivariableCalc,A,MATH 53,MATH G280 (4.00),MATH C280 (5.00),courses-changed
coast,UCD,Calc1,A,MAT 021A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCI,Calc1,A,MATH 2A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCI,Calc2,A,MATH 2B,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCLA,Calc1,A,MATH 31A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCLA,Calc2,A,MATH 31B,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCLA,Calc3,A,MATH 32A,MATH G280 (4.00),MATH C280 (5.00),courses-changed
coast,UCLA,Calc4,A,MATH 32B,MATH G280 (4.00),MATH C280 (5.00),courses-changed
coast,UCLA,DifferentialEquations,A,MATH 33B,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCLA,LinearAlgebra,A,MATH 33A,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCM,Calc1,A,MATH 021,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCM,Calc2,A,MATH 022,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCM,DataStructures,A,CSE 030,CS G154 (3.00) | CS G189 (3.00),ICS C123 (3.00),courses-changed
coast,UCM,LinearAlgebra,A,MATH 024,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCM,VectorCalc,A,MATH 023,MATH G280 (4.00),MATH C280 (5.00),courses-changed
coast,UCSB,Calc1,A,MATH 3A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCSB,Calc2,A,MATH 3B,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCSB,DifferentialEquations,A,MATH 4B,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCSB,DiscreteMath,A,CMPSC 40,CS G262 (3.00),MATH C230 (5.00),courses-changed
coast,UCSB,LinearAlgebra,A,MATH 4A,MATH G285 (5.00),MATH C285 (5.00),courses-changed
coast,UCSC,Calc1,A,MATH 19A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCSC,Calc2,A,MATH 19B,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCSC,Intro,A,CSE 30,CS G189 (3.00),ICS C123 (3.00),courses-changed
coast,UCSD,Calc1,A,MATH 20A,MATH G180 (4.00),MATH C180 (5.00),courses-changed
coast,UCSD,Calc2,A,MATH 20B,MATH G185 (4.00),MATH C185 (5.00),courses-changed
coast,UCSD,Calc3,A,MATH 20C,MATH G280 (4.00),MATH C280 (5.00),courses-changed
coast,UCSD,DataStructures,A,CSE 12,CS G189 (3.00),ICS C123 (3.00),courses-changed
coast,UCSD,LinearAlgebra,A,MATH 18,MATH G285 (5.00),MATH C285 (5.00),courses-changed
contra costa,UCI,Programming,G,I&C SCI 6D,MATH 160 (4.00),COMSC 230 (3.00) | MATH 195 (4.00),courses-changed
contra costa,UCR,Intro2,A,CS 10B,COMSC 132 (3.00),COMSC 200 (4.00),courses-changed
contra costa,UCSC,Intro,A,CSE 30,COMSC 132 (3.00),COMSC 210 (4.00),courses-changed
gavilan,UCR,Intro1,A,CS 10A,CSIS 18 (3.00) | CSIS 18L (1.00) | CSIS 24 (3.00) | CSIS 43 (4.00) | CSIS 45 (3.00),CSIS 24 (3.00) | CSIS 45 (3.00) | course:233030 | course:270091 | course:50016,courses-changed
kern,UCB,Calc1,A,MATH 51,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCB,Calc2,A,MATH 52,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCB,LinearAlgebraAndDifferentialEqations,A,MATH 54,MATH P207 (4.00) | MATH P208 (4.00),MATH B6D (3.00) | MATH B6E (3.00),courses-changed
kern,UCB,MultivariableCalc,A,MATH 53,MATH P205 (4.00),MATH B6C (4.00),courses-changed
kern,UCI,Calc1,A,MATH 2A,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCI,Calc2,A,MATH 2B,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCI,Programming,F,I&C SCI 6B,CSC P152 (3.00),COMP B14 (3.00),courses-changed
kern,UCLA,Calc1,A,MATH 31A,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCLA,Calc2,A,MATH 31B,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCLA,Calc3,A,MATH 32A,MATH P205 (4.00),MATH B6C (4.00),courses-changed
kern,UCLA,Calc4,A,MATH 32B,MATH P205 (4.00),MATH B6C (4.00),courses-changed
kern,UCLA,DifferentialEquations,A,MATH 33B,MATH P207 (4.00),MATH B6D (3.00),courses-changed
kern,UCLA,LinearAlgebra,A,MATH 33A,MATH P208 (4.00),MATH B6E (3.00),courses-changed
kern,UCM,Calc1,A,MATH 021,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCM,Calc2,A,MATH 022,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCM,Intro,A,CSE 022,ENGR P120 (4.00),COMP B10 (3.00) | COMP B11 (3.00) | ENGR B19C (4.00),courses-changed
kern,UCM,LinearAlgebra,A,MATH 024,MATH P207 (4.00) | MATH P208 (4.00),MATH B6D (3.00) | MATH B6E (3.00),courses-changed
kern,UCM,VectorCalc,A,MATH 023,MATH P205 (4.00),MATH B6C (4.00),courses-changed
kern,UCR,Calc,A,MATH 9A; MATH 9B; MATH 9C,MATH P103 (4.00) | MATH P104 (4.00),MATH B6A (4.00) | MATH B6B (4.00),courses-changed
kern,UCSB,Calc1,A,MATH 3A,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCSB,Calc2,A,MATH 3B,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCSB,DifferentialEquations,A,MATH 4B,MATH P207 (4.00),MATH B6D (3.00),courses-changed
kern,UCSB,DiscreteMath,A,CMPSC 40,CSC P152 (3.00),COMP B14 (3.00),courses-changed
kern,UCSB,Intro,A,CMPSC 16,ENGR P132 (3.00),ENGR B19C (4.00),courses-changed
kern,UCSB,LinearAlgebra,A,MATH 4A,MATH P208 (4.00),MATH B6E (3.00),courses-changed
kern,UCSC,Calc1,A,MATH 19A,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCSC,Calc2,A,MATH 19B,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCSC,DiscreteMath,A,CSE 16,CSC P152 (3.00),COMP B14 (3.00),courses-changed
kern,UCSD,Calc1,A,MATH 20A,MATH P103 (4.00),MATH B6A (4.00),courses-changed
kern,UCSD,Calc2,A,MATH 20B,MATH P104 (4.00),MATH B6B (4.00),courses-changed
kern,UCSD,Calc3,A,MATH 20C,MATH P205 (4.00),MATH B6C (4.00),courses-changed
kern,UCSD,LinearAlgebra,A,MATH 18,MATH P208 (4.00),MATH B6E (3.00),courses-changed
los angeles,UCD,Calc1,A,MAT 021A,MATH 261 (5.00),MATH 265 (5.00) | MATH 265S (5.00),courses-changed
los angeles,UCD,DiscreteMath,A,ECS 020,CS 131 (3.00),MATH 272 (5.00),courses-changed
los angeles,UCD,Intro1,A,ECS 036A,CS 114 (3.00) | CS 213 (3.00),CS 113 (3.00) | MATH 173 (4.00) | MATH 273 (4.00),courses-changed
los angeles,UCD,Intro2,A,ECS 036B,CS 216 (3.00),CS 116 (3.00),courses-changed
los angeles,UCI,Calc1,A,MATH 2A,MATH 261 (5.00),MATH 261 (5.00) | MATH 261S (5.00),courses-changed
