campus,unarticulated_receiver,districts_blocked,districts
UCLA,COM SCI 35L,72,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCSD,CSE 29,71,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCSD,CSE 21,70,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCLA,1 of [COM SCI M51A / EC ENGR M16],63,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | Southwestern Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCD,ECS 036C,38,Allan Hancock Joint Community College District | Barstow Community College District | Butte-Glenn Community College District | Chaffey Community College District | Citrus Community College District | Compton Community College District | Copper Mountain Community College District | Feather River Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Mendocino-Lake Community College District | Merced Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Napa Valley Community College District | Palo Verde Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | San Diego Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Sonoma County Junior College District | Southwestern Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District | Yuba Community College District
UCSD,CSE 30,36,Chaffey Community College District | Citrus Community College District | Compton Community College District | Copper Mountain Community College District | El Camino Community College District | Feather River Community College District | Gavilan Community College District | Hartnell Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | Palo Verde Community College District | Pasadena Area Community College District | Peralta Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Luis Obispo County Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District | Yuba Community College District
UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33,29,Allan Hancock Joint Community College District | Butte-Glenn Community College District | Citrus Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lassen Community College District | Mendocino-Lake Community College District | Mt. San Antonio Community College District | Napa Valley Community College District | Ohlone Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | San Joaquin Delta Community College District | San Luis Obispo County Community College District | Santa Clarita Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yuba Community College District
UCSD,CSE 12,29,Allan Hancock Joint Community College District | Butte-Glenn Community College District | Chaffey Community College District | Citrus Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Hartnell Community College District | Kern Community College District | Lassen Community College District | Mendocino-Lake Community College District | Merced Community College District | Monterey Peninsula Community College District | Napa Valley Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Sonoma County Junior College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yuba Community College District
UCLA,COM SCI 32,27,Allan Hancock Joint Community College District | Barstow Community College District | Compton Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Merced Community College District | Monterey Peninsula Community College District | Palo Verde Community College District | Redwoods Community College District | Rio Hondo Community College District | San Luis Obispo County Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Southwestern Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yosemite Community College District
UCLA,COM SCI 33,26,Allan Hancock Joint Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Compton Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | Palo Verde Community College District | Redwoods Community College District | San Bernardino Community College District | San Joaquin Delta Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | West Hills Community College District | West Kern Community College District
