district,campus,unarticulated_receiver
Allan Hancock Joint Community College District,UCD,ECS 036A
Allan Hancock Joint Community College District,UCD,ECS 036B
Allan Hancock Joint Community College District,UCD,ECS 036C
Allan Hancock Joint Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Allan Hancock Joint Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Allan Hancock Joint Community College District,UCLA,COM SCI 31
Allan Hancock Joint Community College District,UCLA,COM SCI 32
Allan Hancock Joint Community College District,UCLA,COM SCI 33
Allan Hancock Joint Community College District,UCLA,COM SCI 35L
Allan Hancock Joint Community College District,UCSD,CSE 12
Allan Hancock Joint Community College District,UCSD,CSE 21
Allan Hancock Joint Community College District,UCSD,CSE 29
Antelope Valley Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Antelope Valley Community College District,UCLA,COM SCI 31
Antelope Valley Community College District,UCLA,COM SCI 35L
Antelope Valley Community College District,UCLA,Computer programming courses: C++ preferred
Antelope Valley Community College District,UCR,CS 10A
Antelope Valley Community College District,UCR,CS 10B
Antelope Valley Community College District,UCSB,CMPSC 16
Antelope Valley Community College District,UCSD,CSE 21
Antelope Valley Community College District,UCSD,CSE 29
Barstow Community College District,UCD,ECS 020
Barstow Community College District,UCD,ECS 036A
Barstow Community College District,UCD,ECS 036B
Barstow Community College District,UCD,ECS 036C
Barstow Community College District,UCD,ECS 050
Barstow Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Barstow Community College District,UCLA,COM SCI 31
Barstow Community College District,UCLA,COM SCI 32
Barstow Community College District,UCLA,COM SCI 33
Barstow Community College District,UCLA,COM SCI 35L
Barstow Community College District,UCLA,Computer programming courses: C++ preferred
Barstow Community College District,UCLA,MATH 33A
Barstow Community College District,UCLA,MATH 33B
Barstow Community College District,UCLA,MATH 61
Barstow Community College District,UCSB,CMPSC 16
Barstow Community College District,UCSC,CSE 12
Barstow Community College District,UCSC,CSE 30
Barstow Community College District,UCSD,CSE 21
Barstow Community College District,UCSD,CSE 29
Butte-Glenn Community College District,UCD,ECS 036A
Butte-Glenn Community College District,UCD,ECS 036C
Butte-Glenn Community College District,UCI,1 of [I&C SCI 45C / I&C SCI 46 / I&C SCI 51 / I&C SCI 53 / I&C SCI 6B / I&C SCI 6D / IN4MATX 43 / STATS 67]
Butte-Glenn Community College District,UCI,I&C SCI 31 + I&C SCI 32 + I&C SCI 33
Butte-Glenn Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Butte-Glenn Community College District,UCLA,COM SCI 31
Butte-Glenn Community College District,UCLA,COM SCI 33
Butte-Glenn Community College District,UCLA,COM SCI 35L
Butte-Glenn Community College District,UCLA,MATH 61
Butte-Glenn Community College District,UCSD,CSE 11
Butte-Glenn Community College District,UCSD,CSE 12
Butte-Glenn Community College District,UCSD,CSE 20
Butte-Glenn Community College District,UCSD,CSE 21
Butte-Glenn Community College District,UCSD,CSE 29
Cabrillo Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Cabrillo Community College District,UCLA,COM SCI 33
Cabrillo Community College District,UCLA,COM SCI 35L
Cabrillo Community College District,UCSD,CSE 21
Cabrillo Community College District,UCSD,CSE 29
Cerritos Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Cerritos Community College District,UCLA,COM SCI 33
Cerritos Community College District,UCLA,COM SCI 35L
Cerritos Community College District,UCLA,MATH 61
Cerritos Community College District,UCSD,CSE 21
Cerritos Community College District,UCSD,CSE 29
Chabot-Las Positas Community College District,UCLA,1 of [COM SCI M51A / EC ENGR M16]
Chabot-Las Positas Community College District,UCLA,COM SCI 35L
Chabot-Las Positas Community College District,UCSD,CSE 21
Chabot-Las Positas Community College District,UCSD,CSE 29
