campus,district,articulated_count
UCB,Allan Hancock Joint Community College District,9
UCM,Allan Hancock Joint Community College District,10
UCR,Allan Hancock Joint Community College District,8
UCSB,Allan Hancock Joint Community College District,6
UCSC,Allan Hancock Joint Community College District,5
UCB,Antelope Valley Community College District,10
UCI,Antelope Valley Community College District,5
UCM,Antelope Valley Community College District,11
UCSC,Antelope Valley Community College District,5
UCB,Barstow Community College District,11
UCI,Barstow Community College District,4
UCM,Barstow Community College District,11
UCR,Barstow Community College District,6
UCB,Butte-Glenn Community College District,10
UCM,Butte-Glenn Community College District,11
UCR,Butte-Glenn Community College District,7
UCSB,Butte-Glenn Community College District,7
UCSC,Butte-Glenn Community College District,5
UCB,Cabrillo Community College District,10
UCD,Cabrillo Community College District,9
UCI,Cabrillo Community College District,5
UCM,Cabrillo Community College District,11
UCR,Cabrillo Community College District,8
UCSB,Cabrillo Community College District,7
UCSC,Cabrillo Community College District,5
UCB,Cerritos Community College District,9
UCI,Cerritos Community College District,5
UCM,Cerritos Community College District,10
UCR,Cerritos Community College District,7
UCSB,Cerritos Community College District,7
UCSC,Cerritos Community College District,5
UCB,Chabot-Las Positas Community College District,11
UCD,Chabot-Las Positas Community College District,8
UCI,Chabot-Las Positas Community College District,5
UCM,Chabot-Las Positas Community College District,11
UCR,Chabot-Las Positas Community College District,8
UCSB,Chabot-Las Positas Community College District,7
UCSC,Chabot-Las Positas Community College District,5
UCB,Chaffey Community College District,10
UCM,Chaffey Community College District,11
UCSB,Chaffey Community College District,7
UCB,Citrus Community College District,10
UCM,Citrus Community College District,11
UCR,Citrus Community College District,8
UCB,Coast Community College District,9
UCI,Coast Community College District,4
UCM,Coast Community College District,10
UCR,Coast Community College District,7
UCSB,Coast Community College District,6
UCSC,Coast Community College District,5
UCI,Compton Community College District,5
UCM,Compton Community College District,10
UCB,Contra Costa Community College District,10
UCD,Contra Costa Community College District,10
UCI,Contra Costa Community College District,5
UCM,Contra Costa Community College District,11
UCR,Contra Costa Community College District,8
UCSB,Contra Costa Community College District,7
UCSC,Contra Costa Community College District,5
UCB,Copper Mountain Community College District,10
UCI,Copper Mountain Community College District,5
UCM,Copper Mountain Community College District,11
UCR,Copper Mountain Community College District,7
UCSB,Copper Mountain Community College District,7
UCB,Desert Community College District,10
UCM,Desert Community College District,11
UCR,Desert Community College District,7
UCSB,Desert Community College District,7
UCSC,Desert Community College District,5
UCB,El Camino Community College District,10
UCI,El Camino Community College District,5
UCM,El Camino Community College District,11
UCR,El Camino Community College District,8
UCSB,El Camino Community College District,6
UCSC,El Camino Community College District,5
UCB,Foothill-De Anza Community College District,13
UCD,Foothill-De Anza Community College District,8
UCI,Foothill-De Anza Community College District,5
UCM,Foothill-De Anza Community College District,13
UCR,Foothill-De Anza Community College District,8
UCSB,Foothill-De Anza Community College District,8
UCSC,Foothill-De Anza Community College District,6
UCB,Gavilan Community College District,10
UCM,Gavilan Community College District,11
UCR,Gavilan Community College District,8
UCSB,Gavilan Community College District,7
UCSC,Gavilan Community College District,6
UCB,Glendale Community College District,10
UCI,Glendale Community College District,5
UCM,Glendale Community College District,11
UCR,Glendale Community College District,8
UCSB,Glendale Community College District,7
UCI,Grossmont-Cuyamaca Community College District,5
UCM,Grossmont-Cuyamaca Community College District,11
UCR,Grossmont-Cuyamaca Community College District,8
UCSB,Grossmont-Cuyamaca Community College District,7
UCSC,Grossmont-Cuyamaca Community College District,5
UCB,Hartnell Community College District,10
UCM,Hartnell Community College District,11
UCSB,Hartnell Community College District,7
UCSC,Hartnell Community College District,6
UCB,Imperial Community College District,10
UCM,Imperial Community College District,11
UCB,Kern Community College District,9
UCM,Kern Community College District,11
UCR,Kern Community College District,8
UCSC,Kern Community College District,5
UCB,Lake Tahoe Community College District,13
UCM,Lake Tahoe Community College District,14
UCR,Lake Tahoe Community College District,9
UCB,Long Beach Community College District,9
UCI,Long Beach Community College District,5
UCM,Long Beach Community College District,10
UCR,Long Beach Community College District,8
UCSB,Long Beach Community College District,7
UCB,Los Angeles Community College District,10
UCD,Los Angeles Community College District,9
UCI,Los Angeles Community College District,4
UCM,Los Angeles Community College District,11
UCR,Los Angeles Community College District,7
UCSB,Los Angeles Community College District,7
UCSC,Los Angeles Community College District,5
UCB,Los Rios Community College District,9
UCD,Los Rios Community College District,9
UCI,Los Rios Community College District,5
UCM,Los Rios Community College District,11
UCR,Los Rios Community College District,8
UCSB,Los Rios Community College District,7
UCSC,Los Rios Community College District,5
UCB,Marin Community College District,9
UCI,Marin Community College District,5
UCM,Marin Community College District,10
UCR,Marin Community College District,8
UCSB,Marin Community College District,6
UCSC,Marin Community College District,5
UCM,Mendocino-Lake Community College District,11
UCR,Mendocino-Lake Community College District,8
UCB,Merced Community College District,10
UCI,Merced Community College District,4
UCM,Merced Community College District,10
UCR,Merced Community College District,8
UCSC,Merced Community College District,5
UCB,MiraCosta Community College District,10
UCD,MiraCosta Community College District,9
