campus,unarticulated_receiver,districts_blocked,districts
UCSD,BILD 5,72,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCSC,BIOL 20L,64,Allan Hancock Joint Community College District | Antelope Valley Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Rios Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Victor Valley Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCLA,1 of [LIFESCI 40 / STATS 13],35,Allan Hancock Joint Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Chaffey Community College District | Citrus Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Gavilan Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Merced Community College District | Monterey Peninsula Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Redwoods Community College District | San Joaquin Delta Community College District | San Mateo County Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | Yuba Community College District
UCD,BIS 002A + BIS 002B + BIS 002C,34,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cerritos Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Desert Community College District | El Camino Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | Redwoods Community College District | San Francisco Community College District | Santa Clarita Community College District | Sequoias Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | West Hills Community College District | West Kern Community College District
UCB,BIOLOGY 1B,27,Antelope Valley Community College District | Barstow Community College District | Compton Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Gavilan Community College District | Imperial Community College District | Lassen Community College District | Long Beach Community College District | Marin Community College District | MiraCosta Community College District | Mt. San Jacinto Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | San Diego Community College District | San Joaquin Delta Community College District | Santa Barbara Community College District | Santa Monica Community College District | Siskiyou Joint Community College District | Solano Community College District | South Orange County Community College District | State Center Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D],25,Antelope Valley Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Chaffey Community College District | Compton Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Mendocino-Lake Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | Redwoods Community College District | San Francisco Community College District | Santa Monica Community College District | Sequoias Community College District | Sierra Joint Community College District | Southwestern Community College District | State Center Community College District | West Hills Community College District | West Kern Community College District
UCB,BIOLOGY 1A + BIOLOGY 1AL,21,Antelope Valley Community College District | Barstow Community College District | Compton Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Lassen Community College District | Long Beach Community College District | MiraCosta Community College District | Mt. San Jacinto Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | San Joaquin Delta Community College District | Santa Barbara Community College District | Santa Monica Community College District | Siskiyou Joint Community College District | Solano Community College District | State Center Community College District | West Hills Community College District | West Kern Community College District
UCB,CHEM 3A + CHEM 3AL,14,Cerritos Community College District | Compton Community College District | Feather River Community College District | Hartnell Community College District | Lake Tahoe Community College District | Lassen Community College District | Palo Verde Community College District | Palomar Community College District | Redwoods Community College District | San Joaquin Delta Community College District | Siskiyou Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCB,CHEM 3B + CHEM 3BL,14,Cerritos Community College District | Compton Community College District | Feather River Community College District | Hartnell Community College District | Lake Tahoe Community College District | Lassen Community College District | Palo Verde Community College District | Palomar Community College District | Redwoods Community College District | San Joaquin Delta Community College District | Siskiyou Joint Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District
UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11],13,Antelope Valley Community College District | Citrus Community College District | Copper Mountain Community College District | Desert Community College District | Feather River Community College District | Lake Tahoe Community College District | Lassen Community College District | Mendocino-Lake Community College District | Napa Valley Community College District | Santa Clarita Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | West Kern Community College District
