district,campus,unarticulated_receiver
Allan Hancock Joint Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Allan Hancock Joint Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Allan Hancock Joint Community College District,UCSC,BIOL 20L
Allan Hancock Joint Community College District,UCSD,1 of [MATH 11 / MATH 11]
Allan Hancock Joint Community College District,UCSD,BILD 5
Antelope Valley Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
Antelope Valley Community College District,UCB,BIOLOGY 1B
Antelope Valley Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Antelope Valley Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Antelope Valley Community College District,UCSC,BIOL 20L
Antelope Valley Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
Antelope Valley Community College District,UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2DL]
Antelope Valley Community College District,UCSD,BILD 5
Barstow Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
Barstow Community College District,UCB,BIOLOGY 1B
Barstow Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021B / MAT 021C + MAT 021D]
Barstow Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Barstow Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Barstow Community College District,UCLA,CHEM 30A + CHEM 30B
Barstow Community College District,UCLA,LIFESCI 7L
Barstow Community College District,UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2A / PHYS 2A / PHYS 2A / PHYS 2BL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2CL / PHYS 2DL]
Barstow Community College District,UCSD,BILD 5
Butte-Glenn Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Butte-Glenn Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Butte-Glenn Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Butte-Glenn Community College District,UCSC,BIOL 20L
Butte-Glenn Community College District,UCSD,BILD 5
Cabrillo Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Cabrillo Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Cabrillo Community College District,UCSC,BIOL 20L
Cabrillo Community College District,UCSD,1 of [MATH 11 / MATH 11]
Cabrillo Community College District,UCSD,BILD 5
Cerritos Community College District,UCB,CHEM 3A + CHEM 3AL
Cerritos Community College District,UCB,CHEM 3B + CHEM 3BL
Cerritos Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021B / MAT 021C + MAT 021D]
Cerritos Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Cerritos Community College District,UCLA,LIFESCI 7C
Cerritos Community College District,UCSC,BIOL 20L
Cerritos Community College District,UCSD,BILD 5
Chabot-Las Positas Community College District,UCSC,BIOL 20L
Chabot-Las Positas Community College District,UCSD,BILD 5
Chaffey Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Chaffey Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Chaffey Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Chaffey Community College District,UCSC,BIOL 20L
Chaffey Community College District,UCSD,1 of [MATH 11 / MATH 11]
Chaffey Community College District,UCSD,BILD 5
Citrus Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021A / MAT 021B]
Citrus Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Citrus Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Citrus Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
Citrus Community College District,UCSD,BILD 5
Coast Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Coast Community College District,UCSC,BIOL 20L
Coast Community College District,UCSD,BILD 5
Compton Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
Compton Community College District,UCB,BIOLOGY 1B
Compton Community College District,UCB,CHEM 3A + CHEM 3AL
Compton Community College District,UCB,CHEM 3B + CHEM 3BL
Compton Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Compton Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Compton Community College District,UCI,CHEM 51A + CHEM 51B + CHEM 51LB + CHEM 51C + CHEM 51LC
Compton Community College District,UCLA,CHEM 30A + CHEM 30B
Compton Community College District,UCM,CHEM 008 + CHEM 008L
Compton Community College District,UCSB,CHEM 109A + CHEM 109B
Compton Community College District,UCSB,CHEM 6AL
Compton Community College District,UCSC,BIOL 20L
Compton Community College District,UCSC,CHEM 8A
Compton Community College District,UCSD,BILD 5
Compton Community College District,UCSD,CHEM 41A
Compton Community College District,UCSD,CHEM 41B
Contra Costa Community College District,UCSC,BIOL 20L
Contra Costa Community College District,UCSD,BILD 5
Copper Mountain Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
Copper Mountain Community College District,UCB,BIOLOGY 1B
Copper Mountain Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021A / MAT 021B]
Copper Mountain Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Copper Mountain Community College District,UCSC,BIOL 20L
Copper Mountain Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
Copper Mountain Community College District,UCSD,BILD 5
Desert Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
Desert Community College District,UCB,BIOLOGY 1B
Desert Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Desert Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
Desert Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Desert Community College District,UCSC,BIOL 20L
Desert Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
Desert Community College District,UCSD,BILD 5
El Camino Community College District,UCB,BIOLOGY 1A + BIOLOGY 1AL
El Camino Community College District,UCB,BIOLOGY 1B
El Camino Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
El Camino Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
El Camino Community College District,UCSC,BIOL 20L
El Camino Community College District,UCSD,BILD 5
Feather River Community College District,UCB,CHEM 3A + CHEM 3AL
Feather River Community College District,UCB,CHEM 3B + CHEM 3BL
Feather River Community College District,UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 021C + MAT 021D]
Feather River Community College District,UCI,CHEM 51A + CHEM 51B + CHEM 51LB + CHEM 51C + CHEM 51LC
Feather River Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Feather River Community College District,UCLA,CHEM 30A + CHEM 30B
Feather River Community College District,UCR,1 of [BIOL 5A + BIOL 5B + BIOL 5C + BIOL 5LA / CHEM 8A + CHEM 8B + CHEM 8C + CHEM 8LA + CHEM 8LB + CHEM 8LC / PHYS 2A + PHYS 2B + PHYS 2C + PHYS 2LA + PHYS 2LB + PHYS 2LC / PHYS 40A + PHYS 40B + PHYS 40C]
Feather River Community College District,UCSB,CHEM 109A + CHEM 109B
Feather River Community College District,UCSB,CHEM 6AL
Feather River Community College District,UCSC,BIOL 20L
Feather River Community College District,UCSC,CHEM 8A
Feather River Community College District,UCSD,1 of [MATH 10A / MATH 10B / MATH 11 / MATH 11]
Feather River Community College District,UCSD,1 of [PHYS 1A / PHYS 1AL / PHYS 1B / PHYS 1BL / PHYS 1C / PHYS 1CL / PHYS 2A / PHYS 2A / PHYS 2A / PHYS 2B / PHYS 2B / PHYS 2B / PHYS 2BL / PHYS 2C / PHYS 2C / PHYS 2C / PHYS 2CL / PHYS 2DL]
Feather River Community College District,UCSD,BILD 5
Feather River Community College District,UCSD,CHEM 41A
Feather River Community College District,UCSD,CHEM 41B
Foothill-De Anza Community College District,UCSC,BIOL 20L
Foothill-De Anza Community College District,UCSD,BILD 5
Gavilan Community College District,UCB,BIOLOGY 1B
Gavilan Community College District,UCB,CHEM 1A + CHEM 1AL
Gavilan Community College District,UCB,CHEM 1B
Gavilan Community College District,UCLA,1 of [LIFESCI 40 / STATS 13]
Gavilan Community College District,UCSC,BIOL 20L
Gavilan Community College District,UCSD,BILD 5
Glendale Community College District,UCD,BIS 002A + BIS 002B + BIS 002C
