campus,district,articulated_count
UCB,Allan Hancock Joint Community College District,9
UCI,Allan Hancock Joint Community College District,6
UCM,Allan Hancock Joint Community College District,8
UCR,Allan Hancock Joint Community College District,6
UCSB,Allan Hancock Joint Community College District,8
UCI,Antelope Valley Community College District,6
UCLA,Antelope Valley Community College District,13
UCM,Antelope Valley Community College District,8
UCR,Antelope Valley Community College District,6
UCSB,Antelope Valley Community College District,7
UCI,Barstow Community College District,6
UCM,Barstow Community College District,8
UCR,Barstow Community College District,6
UCSB,Barstow Community College District,8
UCSC,Barstow Community College District,6
UCB,Butte-Glenn Community College District,9
UCI,Butte-Glenn Community College District,7
UCM,Butte-Glenn Community College District,8
UCR,Butte-Glenn Community College District,6
UCSB,Butte-Glenn Community College District,8
UCB,Cabrillo Community College District,10
UCI,Cabrillo Community College District,8
UCM,Cabrillo Community College District,10
UCR,Cabrillo Community College District,6
UCSB,Cabrillo Community College District,9
UCI,Cerritos Community College District,6
UCM,Cerritos Community College District,8
UCR,Cerritos Community College District,6
UCSB,Cerritos Community College District,7
UCB,Chabot-Las Positas Community College District,10
UCD,Chabot-Las Positas Community College District,8
UCI,Chabot-Las Positas Community College District,6
UCLA,Chabot-Las Positas Community College District,14
UCM,Chabot-Las Positas Community College District,8
UCR,Chabot-Las Positas Community College District,6
UCSB,Chabot-Las Positas Community College District,9
UCB,Chaffey Community College District,9
UCI,Chaffey Community College District,6
UCM,Chaffey Community College District,8
UCR,Chaffey Community College District,6
UCSB,Chaffey Community College District,8
UCB,Citrus Community College District,10
UCI,Citrus Community College District,8
UCM,Citrus Community College District,10
UCR,Citrus Community College District,6
UCSB,Citrus Community College District,9
UCSC,Citrus Community College District,7
UCB,Coast Community College District,10
UCI,Coast Community College District,6
UCLA,Coast Community College District,13
UCM,Coast Community College District,7
UCR,Coast Community College District,5
UCSB,Coast Community College District,8
UCR,Compton Community College District,6
UCB,Contra Costa Community College District,8
UCD,Contra Costa Community College District,7
UCI,Contra Costa Community College District,6
UCLA,Contra Costa Community College District,12
UCM,Contra Costa Community College District,7
UCR,Contra Costa Community College District,6
UCSB,Contra Costa Community College District,7
UCI,Copper Mountain Community College District,6
UCM,Copper Mountain Community College District,8
UCR,Copper Mountain Community College District,6
UCSB,Copper Mountain Community College District,8
UCI,Desert Community College District,6
UCM,Desert Community College District,8
UCR,Desert Community College District,6
UCSB,Desert Community College District,7
UCI,El Camino Community College District,6
UCLA,El Camino Community College District,10
UCM,El Camino Community College District,8
UCR,El Camino Community College District,6
UCSB,El Camino Community College District,8
UCM,Feather River Community College District,8
UCB,Foothill-De Anza Community College District,11
UCD,Foothill-De Anza Community College District,10
UCI,Foothill-De Anza Community College District,8
UCLA,Foothill-De Anza Community College District,17
UCM,Foothill-De Anza Community College District,11
UCR,Foothill-De Anza Community College District,8
UCSB,Foothill-De Anza Community College District,9
UCD,Gavilan Community College District,7
UCI,Gavilan Community College District,6
UCM,Gavilan Community College District,8
UCR,Gavilan Community College District,6
UCSB,Gavilan Community College District,7
UCB,Glendale Community College District,8
UCI,Glendale Community College District,6
UCLA,Glendale Community College District,13
UCM,Glendale Community College District,7
UCR,Glendale Community College District,6
UCSB,Glendale Community College District,7
UCSC,Glendale Community College District,6
UCB,Grossmont-Cuyamaca Community College District,8
UCI,Grossmont-Cuyamaca Community College District,6
UCLA,Grossmont-Cuyamaca Community College District,14
UCM,Grossmont-Cuyamaca Community College District,8
UCR,Grossmont-Cuyamaca Community College District,6
UCSB,Grossmont-Cuyamaca Community College District,7
UCI,Hartnell Community College District,6
UCM,Hartnell Community College District,8
UCR,Hartnell Community College District,6
UCSB,Hartnell Community College District,8
UCI,Imperial Community College District,6
UCM,Imperial Community College District,9
UCR,Imperial Community College District,6
UCSB,Imperial Community College District,7
UCB,Kern Community College District,8
UCD,Kern Community College District,7
UCI,Kern Community College District,6
UCM,Kern Community College District,9
UCR,Kern Community College District,6
UCSB,Kern Community College District,7
UCI,Lake Tahoe Community College District,10
UCM,Lake Tahoe Community College District,15
UCR,Lake Tahoe Community College District,8
UCSB,Lake Tahoe Community College District,12
UCM,Lassen Community College District,8
UCI,Long Beach Community College District,6
UCLA,Long Beach Community College District,13
UCM,Long Beach Community College District,9
UCR,Long Beach Community College District,6
UCSB,Long Beach Community College District,7
UCB,Los Angeles Community College District,8
UCD,Los Angeles Community College District,6
UCI,Los Angeles Community College District,6
UCLA,Los Angeles Community College District,12
UCM,Los Angeles Community College District,8
UCR,Los Angeles Community College District,5
UCSB,Los Angeles Community College District,8
UCSC,Los Angeles Community College District,7
UCB,Los Rios Community College District,8
UCD,Los Rios Community College District,7
UCI,Los Rios Community College District,6
UCLA,Los Rios Community College District,12
