district,campus,order,articulated_avg,unarticulated_avg
Allan Hancock Joint Community College District,UCD,1,4.0,3.0
Allan Hancock Joint Community College District,UCD,2,1.5,2.88
Allan Hancock Joint Community College District,UCD,3,1.11,2.86
Allan Hancock Joint Community College District,UCD,4,0.8,2.89
Allan Hancock Joint Community College District,UCM,1,6.0,0.0
Allan Hancock Joint Community College District,UCM,2,2.38,0.0
Allan Hancock Joint Community College District,UCM,3,1.32,0.0
Allan Hancock Joint Community College District,UCM,4,0.68,0.0
Allan Hancock Joint Community College District,UCSD,1,6.0,1.0
Allan Hancock Joint Community College District,UCSD,2,2.25,0.88
Allan Hancock Joint Community College District,UCSD,3,1.14,0.86
Allan Hancock Joint Community College District,UCSD,4,0.5,0.89
Allan Hancock Joint Community College District,UCSB,1,6.0,0.0
Allan Hancock Joint Community College District,UCSB,2,2.38,0.0
Allan Hancock Joint Community College District,UCSB,3,1.32,0.0
Allan Hancock Joint Community College District,UCSB,4,0.68,0.0
Allan Hancock Joint Community College District,UCLA,1,4.0,1.0
Allan Hancock Joint Community College District,UCLA,2,1.12,1.0
Allan Hancock Joint Community College District,UCLA,3,0.57,1.0
Allan Hancock Joint Community College District,UCLA,4,0.25,1.0
Allan Hancock Joint Community College District,UCB,1,4.0,0.0
Allan Hancock Joint Community College District,UCB,2,1.12,0.0
Allan Hancock Joint Community College District,UCB,3,0.57,0.0
Allan Hancock Joint Community College District,UCB,4,0.25,0.0
Allan Hancock Joint Community College District,UCSC,1,5.0,0.0
Allan Hancock Joint Community College District,UCSC,2,2.0,0.0
Allan Hancock Joint Community College District,UCSC,3,1.32,0.0
Allan Hancock Joint Community College District,UCSC,4,0.88,0.0
Allan Hancock Joint Community College District,UCI,1,2.0,4.0
Allan Hancock Joint Community College District,UCI,2,0.0,3.5
Allan Hancock Joint Community College District,UCI,3,0.0,3.21
Allan Hancock Joint Community College District,UCI,4,0.0,3.07
Allan Hancock Joint Community College District,UCR,1,4.0,0.0
Allan Hancock Joint Community College District,UCR,2,1.25,0.0
Allan Hancock Joint Community College District,UCR,3,0.75,0.0
Allan Hancock Joint Community College District,UCR,4,0.43,0.0
Antelope Valley Community College District,UCD,1,5.0,1.0
Antelope Valley Community College District,UCD,2,2.0,0.88
Antelope Valley Community College District,UCD,3,1.32,0.86
Antelope Valley Community College District,UCD,4,0.88,0.89
Antelope Valley Community College District,UCM,1,7.0,0.0
Antelope Valley Community College District,UCM,2,3.0,0.0
Antelope Valley Community College District,UCM,3,1.79,0.0
Antelope Valley Community College District,UCM,4,1.11,0.0
Antelope Valley Community College District,UCSD,1,7.0,0.0
Antelope Valley Community College District,UCSD,2,3.0,0.0
Antelope Valley Community College District,UCSD,3,1.75,0.0
Antelope Valley Community College District,UCSD,4,1.02,0.0
Antelope Valley Community College District,UCSB,1,6.0,1.0
Antelope Valley Community College District,UCSB,2,2.38,0.88
Antelope Valley Community College District,UCSB,3,1.43,0.86
Antelope Valley Community College District,UCSB,4,0.96,0.89
Antelope Valley Community College District,UCLA,1,5.0,1.0
Antelope Valley Community College District,UCLA,2,1.62,1.0
Antelope Valley Community College District,UCLA,3,0.79,1.0
Antelope Valley Community College District,UCLA,4,0.32,1.0
Antelope Valley Community College District,UCB,1,5.0,0.0
Antelope Valley Community College District,UCB,2,1.62,0.0
Antelope Valley Community College District,UCB,3,0.79,0.0
Antelope Valley Community College District,UCB,4,0.32,0.0
Antelope Valley Community College District,UCSC,1,5.0,0.0
Antelope Valley Community College District,UCSC,2,2.12,0.0
Antelope Valley Community College District,UCSC,3,1.57,0.0
Antelope Valley Community College District,UCSC,4,1.23,0.0
Antelope Valley Community College District,UCI,1,5.0,1.0
Antelope Valley Community College District,UCI,2,2.25,0.5
Antelope Valley Community College District,UCI,3,1.75,0.21
Antelope Valley Community College District,UCI,4,1.41,0.07
Antelope Valley Community College District,UCR,1,2.0,2.0
Antelope Valley Community College District,UCR,2,0.0,2.0
Antelope Valley Community College District,UCR,3,0.0,2.0
Antelope Valley Community College District,UCR,4,0.0,2.0
Barstow Community College District,UCD,1,1.0,5.0
Barstow Community College District,UCD,2,0.0,5.0
Barstow Community College District,UCD,3,0.0,5.0
Barstow Community College District,UCD,4,0.0,5.0
Barstow Community College District,UCM,1,7.0,0.0
Barstow Community College District,UCM,2,3.38,0.0
Barstow Community College District,UCM,3,1.96,0.0
Barstow Community College District,UCM,4,1.07,0.0
Barstow Community College District,UCSD,1,7.0,0.0
Barstow Community College District,UCSD,2,3.38,0.0
Barstow Community College District,UCSD,3,1.96,0.0
Barstow Community College District,UCSD,4,1.07,0.0
Barstow Community College District,UCSB,1,6.0,1.0
Barstow Community College District,UCSB,2,2.88,0.88
Barstow Community College District,UCSB,3,1.79,0.86
Barstow Community College District,UCSB,4,1.07,0.89
Barstow Community College District,UCLA,1,3.0,3.0
Barstow Community College District,UCLA,2,0.75,3.0
Barstow Community College District,UCLA,3,0.36,3.0
Barstow Community College District,UCLA,4,0.18,3.0
Barstow Community College District,UCB,1,5.0,0.0
Barstow Community College District,UCB,2,2.12,0.0
Barstow Community College District,UCB,3,1.25,0.0
Barstow Community College District,UCB,4,0.71,0.0
Barstow Community College District,UCSC,1,3.0,2.0
Barstow Community College District,UCSC,2,0.88,2.0
Barstow Community College District,UCSC,3,0.54,2.0
Barstow Community College District,UCSC,4,0.36,2.0
Barstow Community College District,UCI,1,3.0,1.0
Barstow Community College District,UCI,2,0.75,0.5
