campus,unarticulated_receiver,districts_blocked,districts
UCLA,ECON 11,72,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCLA,ECON 41,72,Allan Hancock Joint Community College District | Antelope Valley Community College District | Barstow Community College District | Butte-Glenn Community College District | Cabrillo Community College District | Cerritos Community College District | Chabot-Las Positas Community College District | Chaffey Community College District | Citrus Community College District | Coast Community College District | Compton Community College District | Contra Costa Community College District | Copper Mountain Community College District | Desert Community College District | El Camino Community College District | Feather River Community College District | Foothill-De Anza Community College District | Gavilan Community College District | Glendale Community College District | Grossmont-Cuyamaca Community College District | Hartnell Community College District | Imperial Community College District | Kern Community College District | Lake Tahoe Community College District | Lassen Community College District | Long Beach Community College District | Los Angeles Community College District | Los Rios Community College District | Marin Community College District | Mendocino-Lake Community College District | Merced Community College District | MiraCosta Community College District | Monterey Peninsula Community College District | Mt. San Antonio Community College District | Mt. San Jacinto Community College District | Napa Valley Community College District | North Orange County Community College District | Ohlone Community College District | Palo Verde Community College District | Palomar Community College District | Pasadena Area Community College District | Peralta Community College District | Rancho Santiago Community College District | Redwoods Community College District | Rio Hondo Community College District | Riverside Community College District | San Bernardino Community College District | San Diego Community College District | San Francisco Community College District | San Joaquin Delta Community College District | San Jose-Evergreen Community College District | San Luis Obispo County Community College District | San Mateo County Community College District | Santa Barbara Community College District | Santa Clarita Community College District | Santa Monica Community College District | Sequoias Community College District | Shasta-Tehama-Trinity Joint Community College District | Sierra Joint Community College District | Siskiyou Joint Community College District | Solano Community College District | Sonoma County Junior College District | South Orange County Community College District | Southwestern Community College District | State Center Community College District | Ventura County Community College District | Victor Valley Community College District | West Hills Community College District | West Kern Community College District | West Valley-Mission Community College District | Yosemite Community College District | Yuba Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B],7,Citrus Community College District | Copper Mountain Community College District | Monterey Peninsula Community College District | Ohlone Community College District | Palo Verde Community College District | Santa Clarita Community College District | Yuba Community College District
UCSD,ECON 1,6,Long Beach Community College District | Napa Valley Community College District | Palo Verde Community College District | San Joaquin Delta Community College District | Victor Valley Community College District | Yuba Community College District
UCSD,ECON 3,6,Long Beach Community College District | Napa Valley Community College District | Palo Verde Community College District | San Joaquin Delta Community College District | Victor Valley Community College District | Yuba Community College District
UCD,1 of [MAT 017A / MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021B],2,Barstow Community College District | Cerritos Community College District
UCSD,1 of [MATH 10A / MATH 10B / MATH 10C / MATH 20C],2,Feather River Community College District | Lassen Community College District
UCB,1 of [MATH 16A + MATH 16B / MATH 51 + MATH 52],1,Palo Verde Community College District
UCD,1 of [MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021A / MAT 021B],1,Rancho Santiago Community College District
UCD,1 of [MAT 017B / MAT 017C / MAT 019A / MAT 019B / MAT 019C / MAT 021B],1,Pasadena Area Community College District
UCI,MATH 2A,1,Palo Verde Community College District
UCI,MATH 2B,1,Palo Verde Community College District
UCLA,MATH 31A,1,Palo Verde Community College District
UCLA,MATH 31B,1,Palo Verde Community College District
UCM,1 of [MATH 011 / MATH 021],1,Palo Verde Community College District
UCSB,1 of [MATH 34A / MATH 3A],1,Palo Verde Community College District
UCSB,1 of [MATH 34B / MATH 3B],1,Palo Verde Community College District
UCSC,1 of [AM 11A / MATH 11A / MATH 19A],1,Palo Verde Community College District
UCSD,1 of [MATH 10A / MATH 10B / MATH 10C / MATH 20B / MATH 20C],1,Palo Verde Community College District
