campus,district,articulated_count
UCB,Allan Hancock Joint Community College District,3
UCD,Allan Hancock Joint Community College District,4
UCI,Allan Hancock Joint Community College District,4
UCM,Allan Hancock Joint Community College District,5
UCR,Allan Hancock Joint Community College District,1
UCSB,Allan Hancock Joint Community College District,3
UCSC,Allan Hancock Joint Community College District,3
UCSD,Allan Hancock Joint Community College District,5
UCB,Antelope Valley Community College District,4
UCD,Antelope Valley Community College District,4
UCI,Antelope Valley Community College District,4
UCM,Antelope Valley Community College District,5
UCR,Antelope Valley Community College District,1
UCSB,Antelope Valley Community College District,3
UCSC,Antelope Valley Community College District,3
UCSD,Antelope Valley Community College District,5
UCB,Barstow Community College District,4
UCI,Barstow Community College District,4
UCM,Barstow Community College District,5
UCR,Barstow Community College District,1
UCSB,Barstow Community College District,4
UCSC,Barstow Community College District,3
UCSD,Barstow Community College District,5
UCB,Butte-Glenn Community College District,4
UCD,Butte-Glenn Community College District,4
UCI,Butte-Glenn Community College District,4
UCM,Butte-Glenn Community College District,5
UCR,Butte-Glenn Community College District,1
UCSB,Butte-Glenn Community College District,3
UCSC,Butte-Glenn Community College District,3
UCSD,Butte-Glenn Community College District,5
UCB,Cabrillo Community College District,4
UCD,Cabrillo Community College District,4
UCI,Cabrillo Community College District,4
UCM,Cabrillo Community College District,5
UCR,Cabrillo Community College District,1
UCSB,Cabrillo Community College District,3
UCSC,Cabrillo Community College District,3
UCSD,Cabrillo Community College District,5
UCB,Cerritos Community College District,4
UCI,Cerritos Community College District,4
UCM,Cerritos Community College District,5
UCR,Cerritos Community College District,1
UCSB,Cerritos Community College District,3
UCSC,Cerritos Community College District,3
UCSD,Cerritos Community College District,3
UCB,Chabot-Las Positas Community College District,4
UCD,Chabot-Las Positas Community College District,4
UCI,Chabot-Las Positas Community College District,4
UCM,Chabot-Las Positas Community College District,5
UCR,Chabot-Las Positas Community College District,1
UCSB,Chabot-Las Positas Community College District,4
UCSC,Chabot-Las Positas Community College District,3
UCSD,Chabot-Las Positas Community College District,4
UCB,Chaffey Community College District,4
UCD,Chaffey Community College District,4
UCI,Chaffey Community College District,4
UCM,Chaffey Community College District,5
UCR,Chaffey Community College District,1
UCSB,Chaffey Community College District,3
UCSC,Chaffey Community College District,3
UCSD,Chaffey Community College District,4
UCB,Citrus Community College District,4
UCI,Citrus Community College District,4
UCM,Citrus Community College District,5
UCR,Citrus Community College District,1
UCSB,Citrus Community College District,3
UCSC,Citrus Community College District,3
UCSD,Citrus Community College District,5
UCB,Coast Community College District,3
UCD,Coast Community College District,4
UCI,Coast Community College District,4
UCM,Coast Community College District,5
UCR,Coast Community College District,1
UCSB,Coast Community College District,3
UCSC,Coast Community College District,3
UCSD,Coast Community College District,5
UCB,Compton Community College District,4
UCD,Compton Community College District,4
UCI,Compton Community College District,4
UCM,Compton Community College District,5
UCR,Compton Community College District,1
UCSB,Compton Community College District,3
UCSC,Compton Community College District,3
UCSD,Compton Community College District,4
UCB,Contra Costa Community College District,3
UCD,Contra Costa Community College District,4
UCI,Contra Costa Community College District,4
UCM,Contra Costa Community College District,5
UCR,Contra Costa Community College District,1
UCSB,Contra Costa Community College District,3
UCSC,Contra Costa Community College District,3
UCSD,Contra Costa Community College District,4
UCB,Copper Mountain Community College District,4
UCI,Copper Mountain Community College District,4
UCM,Copper Mountain Community College District,5
UCR,Copper Mountain Community College District,1
UCSB,Copper Mountain Community College District,4
UCSC,Copper Mountain Community College District,3
UCSD,Copper Mountain Community College District,5
UCB,Desert Community College District,4
UCD,Desert Community College District,4
UCI,Desert Community College District,4
UCM,Desert Community College District,5
UCR,Desert Community College District,1
UCSB,Desert Community College District,3
UCSC,Desert Community College District,3
UCSD,Desert Community College District,5
UCB,El Camino Community College District,4
UCD,El Camino Community College District,4
UCI,El Camino Community College District,4
UCM,El Camino Community College District,5
UCR,El Camino Community College District,1
UCSB,El Camino Community College District,3
UCSC,El Camino Community College District,3
UCSD,El Camino Community College District,4
UCB,Feather River Community College District,4
UCD,Feather River Community College District,4
UCI,Feather River Community College District,4
UCM,Feather River Community College District,5
UCR,Feather River Community College District,1
UCSB,Feather River Community College District,4
UCSC,Feather River Community College District,3
UCB,Foothill-De Anza Community College District,4
UCD,Foothill-De Anza Community College District,4
UCI,Foothill-De Anza Community College District,4
UCM,Foothill-De Anza Community College District,6
UCR,Foothill-De Anza Community College District,1
UCSB,Foothill-De Anza Community College District,3
