district_index,district,reachable_count,unit_system,from_mask,from_codes,added_school_id,added_code,to_mask,to_codes,portfolio_size,from_scenario_id,to_scenario_id,from_distinct_courses,to_distinct_courses,added_courses,from_semester_equiv_units,to_semester_equiv_units,added_semester_equiv_units,from_min_terms,to_min_terms,added_min_terms,from_lower_bound_terms,to_lower_bound_terms,added_lower_bound_terms,from_status,to_status,from_academic_years,to_academic_years,added_academic_years,from_course_quality,to_course_quality,from_schedule_quality,to_schedule_quality
0,Allan Hancock Joint Community College District,5,semester,0,,46,UCR,2,UCR,1,,0:2,0,8,8,0,30,30,0,3,3,0,3,3,empty_baseline,optimal,0,1.5,1.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,0,,79,UCB,4,UCB,1,,0:4,0,9,9,0,36,36,0,4,4,0,4,4,empty_baseline,optimal,0,2,2,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,0,,128,UCSB,64,UCSB,1,,0:64,0,7,7,0,28,28,0,4,4,0,4,4,empty_baseline,optimal,0,2,2,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,0,,132,UCSC,128,UCSC,1,,0:128,0,6,6,0,22,22,0,2,2,0,2,2,empty_baseline,optimal,0,1,1,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,0,,144,UCM,256,UCM,1,,0:256,0,11,11,0,44,44,0,4,4,0,4,4,empty_baseline,optimal,0,2,2,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,4,UCB,46,UCR,6,UCR|UCB,2,0:4,0:6,9,11,2,36,44,8,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,2,UCR,79,UCB,6,UCR|UCB,2,0:2,0:6,8,11,3,30,44,14,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,64,UCSB,46,UCR,66,UCR|UCSB,2,0:64,0:66,7,9,2,28,35,7,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,2,UCR,128,UCSB,66,UCR|UCSB,2,0:2,0:66,8,9,1,30,35,5,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,64,UCSB,79,UCB,68,UCB|UCSB,2,0:64,0:68,7,12,5,28,47,19,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,4,UCB,128,UCSB,68,UCB|UCSB,2,0:4,0:68,9,12,3,36,47,11,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,128,UCSC,46,UCR,130,UCR|UCSC,2,0:128,0:130,6,8,2,22,30,8,2,3,1,2,3,1,optimal,optimal,1,1.5,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,2,UCR,132,UCSC,130,UCR|UCSC,2,0:2,0:130,8,8,0,30,30,0,3,3,0,3,3,0,optimal,optimal,1.5,1.5,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,128,UCSC,79,UCB,132,UCB|UCSC,2,0:128,0:132,6,13,7,22,50,28,2,4,2,2,4,2,optimal,optimal,1,2,1,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,4,UCB,132,UCSC,132,UCB|UCSC,2,0:4,0:132,9,13,4,36,50,14,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,128,UCSC,128,UCSB,192,UCSB|UCSC,2,0:128,0:192,6,8,2,22,31,9,2,4,2,2,4,2,optimal,optimal,1,2,1,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,64,UCSB,132,UCSC,192,UCSB|UCSC,2,0:64,0:192,7,8,1,28,31,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,256,UCM,46,UCR,258,UCR|UCM,2,0:256,0:258,11,11,0,44,44,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,2,UCR,144,UCM,258,UCR|UCM,2,0:2,0:258,8,11,3,30,44,14,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,256,UCM,79,UCB,260,UCB|UCM,2,0:256,0:260,11,11,0,44,44,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,4,UCB,144,UCM,260,UCB|UCM,2,0:4,0:260,9,11,2,36,44,8,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,256,UCM,128,UCSB,320,UCSB|UCM,2,0:256,0:320,11,12,1,44,47,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,64,UCSB,144,UCM,320,UCSB|UCM,2,0:64,0:320,7,12,5,28,47,19,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,256,UCM,132,UCSC,384,UCSC|UCM,2,0:256,0:384,11,13,2,44,50,6,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,128,UCSC,144,UCM,384,UCSC|UCM,2,0:128,0:384,6,13,7,22,50,28,2,4,2,2,4,2,optimal,optimal,1,2,1,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,68,UCB|UCSB,46,UCR,70,UCR|UCB|UCSB,3,0:68,0:70,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,66,UCR|UCSB,79,UCB,70,UCR|UCB|UCSB,3,0:66,0:70,9,12,3,35,47,12,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,6,UCR|UCB,128,UCSB,70,UCR|UCB|UCSB,3,0:6,0:70,11,12,1,44,47,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,132,UCB|UCSC,46,UCR,134,UCR|UCB|UCSC,3,0:132,0:134,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,130,UCR|UCSC,79,UCB,134,UCR|UCB|UCSC,3,0:130,0:134,8,13,5,30,50,20,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,6,UCR|UCB,132,UCSC,134,UCR|UCB|UCSC,3,0:6,0:134,11,13,2,44,50,6,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,192,UCSB|UCSC,46,UCR,194,UCR|UCSB|UCSC,3,0:192,0:194,8,9,1,31,35,4,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,130,UCR|UCSC,128,UCSB,194,UCR|UCSB|UCSC,3,0:130,0:194,8,9,1,30,35,5,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,66,UCR|UCSB,132,UCSC,194,UCR|UCSB|UCSC,3,0:66,0:194,9,9,0,35,35,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,192,UCSB|UCSC,79,UCB,196,UCB|UCSB|UCSC,3,0:192,0:196,8,13,5,31,50,19,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,132,UCB|UCSC,128,UCSB,196,UCB|UCSB|UCSC,3,0:132,0:196,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,68,UCB|UCSB,132,UCSC,196,UCB|UCSB|UCSC,3,0:68,0:196,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,260,UCB|UCM,46,UCR,262,UCR|UCB|UCM,3,0:260,0:262,11,11,0,44,44,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,258,UCR|UCM,79,UCB,262,UCR|UCB|UCM,3,0:258,0:262,11,11,0,44,44,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,6,UCR|UCB,144,UCM,262,UCR|UCB|UCM,3,0:6,0:262,11,11,0,44,44,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,320,UCSB|UCM,46,UCR,322,UCR|UCSB|UCM,3,0:320,0:322,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,258,UCR|UCM,128,UCSB,322,UCR|UCSB|UCM,3,0:258,0:322,11,12,1,44,47,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,66,UCR|UCSB,144,UCM,322,UCR|UCSB|UCM,3,0:66,0:322,9,12,3,35,47,12,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,320,UCSB|UCM,79,UCB,324,UCB|UCSB|UCM,3,0:320,0:324,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,260,UCB|UCM,128,UCSB,324,UCB|UCSB|UCM,3,0:260,0:324,11,12,1,44,47,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,68,UCB|UCSB,144,UCM,324,UCB|UCSB|UCM,3,0:68,0:324,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,384,UCSC|UCM,46,UCR,386,UCR|UCSC|UCM,3,0:384,0:386,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,258,UCR|UCM,132,UCSC,386,UCR|UCSC|UCM,3,0:258,0:386,11,13,2,44,50,6,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,130,UCR|UCSC,144,UCM,386,UCR|UCSC|UCM,3,0:130,0:386,8,13,5,30,50,20,3,4,1,3,4,1,optimal,optimal,1.5,2,0.5,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,384,UCSC|UCM,79,UCB,388,UCB|UCSC|UCM,3,0:384,0:388,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,260,UCB|UCM,132,UCSC,388,UCB|UCSC|UCM,3,0:260,0:388,11,13,2,44,50,6,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,132,UCB|UCSC,144,UCM,388,UCB|UCSC|UCM,3,0:132,0:388,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,384,UCSC|UCM,128,UCSB,448,UCSB|UCSC|UCM,3,0:384,0:448,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,320,UCSB|UCM,132,UCSC,448,UCSB|UCSC|UCM,3,0:320,0:448,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,192,UCSB|UCSC,144,UCM,448,UCSB|UCSC|UCM,3,0:192,0:448,8,13,5,31,50,19,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,196,UCB|UCSB|UCSC,46,UCR,198,UCR|UCB|UCSB|UCSC,4,0:196,0:198,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,194,UCR|UCSB|UCSC,79,UCB,198,UCR|UCB|UCSB|UCSC,4,0:194,0:198,9,13,4,35,50,15,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,134,UCR|UCB|UCSC,128,UCSB,198,UCR|UCB|UCSB|UCSC,4,0:134,0:198,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,70,UCR|UCB|UCSB,132,UCSC,198,UCR|UCB|UCSB|UCSC,4,0:70,0:198,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,324,UCB|UCSB|UCM,46,UCR,326,UCR|UCB|UCSB|UCM,4,0:324,0:326,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,322,UCR|UCSB|UCM,79,UCB,326,UCR|UCB|UCSB|UCM,4,0:322,0:326,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,262,UCR|UCB|UCM,128,UCSB,326,UCR|UCB|UCSB|UCM,4,0:262,0:326,11,12,1,44,47,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,70,UCR|UCB|UCSB,144,UCM,326,UCR|UCB|UCSB|UCM,4,0:70,0:326,12,12,0,47,47,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,388,UCB|UCSC|UCM,46,UCR,390,UCR|UCB|UCSC|UCM,4,0:388,0:390,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,386,UCR|UCSC|UCM,79,UCB,390,UCR|UCB|UCSC|UCM,4,0:386,0:390,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,262,UCR|UCB|UCM,132,UCSC,390,UCR|UCB|UCSC|UCM,4,0:262,0:390,11,13,2,44,50,6,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,134,UCR|UCB|UCSC,144,UCM,390,UCR|UCB|UCSC|UCM,4,0:134,0:390,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,448,UCSB|UCSC|UCM,46,UCR,450,UCR|UCSB|UCSC|UCM,4,0:448,0:450,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,386,UCR|UCSC|UCM,128,UCSB,450,UCR|UCSB|UCSC|UCM,4,0:386,0:450,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,322,UCR|UCSB|UCM,132,UCSC,450,UCR|UCSB|UCSC|UCM,4,0:322,0:450,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,194,UCR|UCSB|UCSC,144,UCM,450,UCR|UCSB|UCSC|UCM,4,0:194,0:450,9,13,4,35,50,15,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,448,UCSB|UCSC|UCM,79,UCB,452,UCB|UCSB|UCSC|UCM,4,0:448,0:452,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,388,UCB|UCSC|UCM,128,UCSB,452,UCB|UCSB|UCSC|UCM,4,0:388,0:452,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,324,UCB|UCSB|UCM,132,UCSC,452,UCB|UCSB|UCSC|UCM,4,0:324,0:452,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,196,UCB|UCSB|UCSC,144,UCM,452,UCB|UCSB|UCSC|UCM,4,0:196,0:452,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,452,UCB|UCSB|UCSC|UCM,46,UCR,454,UCR|UCB|UCSB|UCSC|UCM,5,0:452,0:454,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,450,UCR|UCSB|UCSC|UCM,79,UCB,454,UCR|UCB|UCSB|UCSC|UCM,5,0:450,0:454,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,390,UCR|UCB|UCSC|UCM,128,UCSB,454,UCR|UCB|UCSB|UCSC|UCM,5,0:390,0:454,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,326,UCR|UCB|UCSB|UCM,132,UCSC,454,UCR|UCB|UCSB|UCSC|UCM,5,0:326,0:454,12,13,1,47,50,3,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
0,Allan Hancock Joint Community College District,5,semester,198,UCR|UCB|UCSB|UCSC,144,UCM,454,UCR|UCB|UCSB|UCSC|UCM,5,0:198,0:454,13,13,0,50,50,0,4,4,0,4,4,0,optimal,optimal,2,2,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,0,,79,UCB,4,UCB,1,,1:4,0,10,10,0,40,40,0,5,5,0,5,5,empty_baseline,optimal,0,2.5,2.5,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,0,,120,UCI,32,UCI,1,,1:32,0,5,5,0,18,18,0,3,3,0,3,3,empty_baseline,optimal,0,1.5,1.5,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,0,,132,UCSC,128,UCSC,1,,1:128,0,7,7,0,25,25,0,3,3,0,3,3,empty_baseline,optimal,0,1.5,1.5,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,0,,144,UCM,256,UCM,1,,1:256,0,12,12,0,44,44,0,5,5,0,5,5,empty_baseline,optimal,0,2.5,2.5,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,32,UCI,79,UCB,36,UCB|UCI,2,1:32,1:36,5,13,8,18,49,31,3,5,2,3,5,2,optimal,optimal,1.5,2.5,1,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,4,UCB,120,UCI,36,UCB|UCI,2,1:4,1:36,10,13,3,40,49,9,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,128,UCSC,79,UCB,132,UCB|UCSC,2,1:128,1:132,7,15,8,25,56,31,3,5,2,3,5,2,optimal,optimal,1.5,2.5,1,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,4,UCB,132,UCSC,132,UCB|UCSC,2,1:4,1:132,10,15,5,40,56,16,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,128,UCSC,120,UCI,160,UCI|UCSC,2,1:128,1:160,7,7,0,25,25,0,3,3,0,3,3,0,optimal,optimal,1.5,1.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,32,UCI,132,UCSC,160,UCI|UCSC,2,1:32,1:160,5,7,2,18,25,7,3,3,0,3,3,0,optimal,optimal,1.5,1.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,256,UCM,79,UCB,260,UCB|UCM,2,1:256,1:260,12,13,1,44,49,5,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,4,UCB,144,UCM,260,UCB|UCM,2,1:4,1:260,10,13,3,40,49,9,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,256,UCM,120,UCI,288,UCI|UCM,2,1:256,1:288,12,13,1,44,47,3,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,32,UCI,144,UCM,288,UCI|UCM,2,1:32,1:288,5,13,8,18,47,29,3,5,2,3,5,2,optimal,optimal,1.5,2.5,1,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,256,UCM,132,UCSC,384,UCSC|UCM,2,1:256,1:384,12,14,2,44,51,7,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,128,UCSC,144,UCM,384,UCSC|UCM,2,1:128,1:384,7,14,7,25,51,26,3,5,2,3,5,2,optimal,optimal,1.5,2.5,1,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,160,UCI|UCSC,79,UCB,164,UCB|UCI|UCSC,3,1:160,1:164,7,15,8,25,56,31,3,5,2,3,5,2,optimal,optimal,1.5,2.5,1,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,132,UCB|UCSC,120,UCI,164,UCB|UCI|UCSC,3,1:132,1:164,15,15,0,56,56,0,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,36,UCB|UCI,132,UCSC,164,UCB|UCI|UCSC,3,1:36,1:164,13,15,2,49,56,7,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,288,UCI|UCM,79,UCB,292,UCB|UCI|UCM,3,1:288,1:292,13,14,1,47,52,5,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,260,UCB|UCM,120,UCI,292,UCB|UCI|UCM,3,1:260,1:292,13,14,1,49,52,3,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,36,UCB|UCI,144,UCM,292,UCB|UCI|UCM,3,1:36,1:292,13,14,1,49,52,3,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,384,UCSC|UCM,79,UCB,388,UCB|UCSC|UCM,3,1:384,1:388,14,15,1,51,56,5,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
1,Antelope Valley Community College District,4,semester,260,UCB|UCM,132,UCSC,388,UCB|UCSC|UCM,3,1:260,1:388,13,15,2,49,56,7,5,5,0,5,5,0,optimal,optimal,2.5,2.5,0,exact,exact,exact,exact
