scenario_id,district_index,district,region,unit_system,reachable_count,reachable_codes,portfolio_mask,portfolio_size,portfolio_codes,status,course_status,prerequisite_status,schedule_status,role_attribution_status,course_result_quality,schedule_result_quality,distinct_courses,major_course_count,prerequisite_course_count,colleges_used,semester_equiv_units,min_terms,lower_bound_terms,upper_bound_terms,academic_years,exact_only_overlap_savings_courses,bounded_sensitivity_overlap_savings_courses,computation_elapsed_ms
0:2,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,2,1,UCR,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,30,3,3,3,1.5,0,0,22
0:4,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,4,1,UCB,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,36,4,4,4,2,0,0,73
0:64,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,64,1,UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,7,6,1,1,28,4,4,4,2,0,0,7
0:128,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,128,1,UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,6,5,1,1,22,2,2,2,1,0,0,7
0:256,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,256,1,UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,10,1,1,44,4,4,4,2,0,0,19
0:6,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,6,2,UCR|UCB,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,44,4,4,4,2,6,6,33
0:66,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,66,2,UCR|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,35,4,4,4,2,6,6,5
0:68,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,68,2,UCB|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,47,4,4,4,2,4,4,25
0:130,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,130,2,UCR|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,8,8,0,1,30,3,3,3,1.5,6,6,53
0:132,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,132,2,UCB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,50,4,4,4,2,2,2,156
0:192,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,192,2,UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,8,7,1,1,31,4,4,4,2,5,5,7
0:258,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,258,2,UCR|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,44,4,4,4,2,8,8,19
0:260,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,260,2,UCB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,11,11,0,1,44,4,4,4,2,9,9,16
0:320,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,320,2,UCSB|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,12,11,1,1,47,4,4,4,2,6,6,8
0:384,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,384,2,UCSC|UCM,optimal,optimal,complete,optimal,optimal,exact,exact,13,12,1,1,50,4,4,4,2,4,4,10
0:70,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,70,3,UCR|UCB|UCSB,optimal,optimal,complete,optimal,optimal,exact,exact,12,12,0,1,47,4,4,4,2,12,12,10
0:134,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,134,3,UCR|UCB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,13,13,0,1,50,4,4,4,2,10,10,16
0:194,0,Allan Hancock Joint Community College District,South Central,semester,5,UCR|UCB|UCSB|UCSC|UCM,194,3,UCR|UCSB|UCSC,optimal,optimal,complete,optimal,optimal,exact,exact,9,9,0,1,35,4,4,4,2,12,12,4
